,Floyd Warshall for p = 1,Dijkstra for p = 1
0,0.0001862049102783203,0.0002570152282714844
1,0.0002300739288330078,0.0003058910369873047
2,0.0002932548522949219,0.00037789344787597656
3,0.0003688335418701172,0.00046181678771972656
4,0.00045800209045410156,0.0005631446838378906
5,0.0005617141723632812,0.0006721019744873047
6,0.0006940364837646484,0.0008051395416259766
7,0.0008270740509033203,0.0009438991546630859
8,0.0009930133819580078,0.0010898113250732422
9,0.0011639595031738281,0.0012700557708740234
10,0.001360177993774414,0.0014498233795166016
11,0.0015599727630615234,0.0016601085662841797
12,0.0017442703247070312,0.001875162124633789
13,0.0021419525146484375,0.002112150192260742
14,0.0026657581329345703,0.002402067184448242
15,0.002666950225830078,0.002666950225830078
16,0.0030279159545898438,0.002980947494506836
17,0.0033721923828125,0.0033211708068847656
18,0.003736257553100586,0.0036683082580566406
19,0.004219770431518555,0.004019975662231445
20,0.004709720611572266,0.0044231414794921875
21,0.0050220489501953125,0.004817962646484375
22,0.005991935729980469,0.005288124084472656
23,0.0061299800872802734,0.0057468414306640625
24,0.006720781326293945,0.006222963333129883
25,0.007416963577270508,0.006760120391845703
26,0.008148908615112305,0.007317066192626953
27,0.009339094161987305,0.007969141006469727
28,0.009715080261230469,0.00851297378540039
29,0.0103302001953125,0.00919198989868164
30,0.011497020721435547,0.009831905364990234
31,0.012951850891113281,0.010555744171142578
32,0.013959884643554688,0.011681079864501953
33,0.015263080596923828,0.012558698654174805
34,0.016398191452026367,0.013424873352050781
35,0.017518043518066406,0.014509201049804688
36,0.01874089241027832,0.015194177627563477
37,0.020748138427734375,0.015878915786743164
38,0.021725893020629883,0.016919851303100586
39,0.02386307716369629,0.018575668334960938
40,0.023968935012817383,0.019826889038085938
41,0.02492380142211914,0.02090597152709961
42,0.026994943618774414,0.02197408676147461
43,0.02732992172241211,0.023340225219726562
44,0.028976917266845703,0.024605989456176758
45,0.031241178512573242,0.026239871978759766
46,0.03547215461730957,0.028130054473876953
47,0.0384979248046875,0.028481721878051758
48,0.040840864181518555,0.029127120971679688
49,0.043250083923339844,0.030968904495239258
50,0.04533886909484863,0.03408193588256836
51,0.047170162200927734,0.03661179542541504
52,0.04926323890686035,0.03833174705505371
53,0.05163288116455078,0.03998708724975586
54,0.053910017013549805,0.04207205772399902
55,0.05739712715148926,0.04540681838989258
56,0.059838294982910156,0.045567989349365234
57,0.06283903121948242,0.049825191497802734
58,0.06584692001342773,0.051889896392822266
59,0.0689690113067627,0.05265998840332031
60,0.0705711841583252,0.055185794830322266
61,0.06715798377990723,0.05716395378112793
62,0.0676870346069336,0.05950784683227539
63,0.06998014450073242,0.06254100799560547
64,0.07480502128601074,0.06261396408081055
65,0.0775749683380127,0.06676721572875977
66,0.08084583282470703,0.07082986831665039
67,0.08581924438476562,0.07422614097595215
68,0.08983397483825684,0.07762312889099121
69,0.09493207931518555,0.08060598373413086
70,0.09904217720031738,0.07430291175842285
71,0.10664606094360352,0.07523393630981445
72,0.11185097694396973,0.07820010185241699
73,0.12256503105163574,0.08300995826721191
74,0.1265571117401123,0.08637785911560059
75,0.12608790397644043,0.09101486206054688
76,0.1279599666595459,0.08960294723510742
77,0.14190006256103516,0.09325695037841797
78,0.14692020416259766,0.09629487991333008
79,0.15028619766235352,0.0993039608001709
80,0.1649150848388672,0.1087801456451416
81,0.16276788711547852,0.11710619926452637
82,0.1580650806427002,0.13007473945617676
83,0.17286181449890137,0.12861394882202148
84,0.1841578483581543,0.12737822532653809
85,0.1781020164489746,0.13161015510559082
86,0.1905689239501953,0.1368260383605957
87,0.19343996047973633,0.1400129795074463
88,0.21425890922546387,0.14638376235961914
89,0.20804095268249512,0.1388869285583496
